"filename", "language", "Properties", "toml", "JSON", "Markdown", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Vincent\Desktop\bytely\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Vincent\Desktop\bytely\Pipfile", "toml", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Vincent\Desktop\bytely\Pipfile.lock", "JSON", 0, 0, 242, 0, 0, 0, 0, 0, 0, 1, 243
"c:\Users\Vincent\Desktop\bytely\README.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Vincent\Desktop\bytely\bytely\__init__.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 1, 14, 38
"c:\Users\Vincent\Desktop\bytely\bytely\config.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"c:\Users\Vincent\Desktop\bytely\bytely\links\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Vincent\Desktop\bytely\bytely\links\views.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 4, 27, 89
"c:\Users\Vincent\Desktop\bytely\bytely\main\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Vincent\Desktop\bytely\bytely\main\utils.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\Vincent\Desktop\bytely\bytely\main\views.py", "Python", 0, 0, 0, 0, 35, 0, 0, 0, 2, 17, 54
"c:\Users\Vincent\Desktop\bytely\bytely\models.py", "Python", 0, 0, 0, 0, 39, 0, 0, 0, 1, 19, 59
"c:\Users\Vincent\Desktop\bytely\bytely\static\scripts\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\Vincent\Desktop\bytely\bytely\static\styles\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 26, 0, 8, 34
"c:\Users\Vincent\Desktop\bytely\bytely\templates\404.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Vincent\Desktop\bytely\bytely\templates\base.html", "HTML", 0, 0, 0, 0, 0, 55, 0, 0, 0, 7, 62
"c:\Users\Vincent\Desktop\bytely\bytely\templates\dashboard.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 1, 6, 48
"c:\Users\Vincent\Desktop\bytely\bytely\templates\details.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\Vincent\Desktop\bytely\bytely\templates\index.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 2, 4, 47
"c:\Users\Vincent\Desktop\bytely\bytely\templates\login.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\Users\Vincent\Desktop\bytely\bytely\templates\signup.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\Vincent\Desktop\bytely\bytely\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Vincent\Desktop\bytely\bytely\users\views.py", "Python", 0, 0, 0, 0, 44, 0, 0, 0, 4, 22, 70
"c:\Users\Vincent\Desktop\bytely\bytely\utils.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 7, 2, 15
"c:\Users\Vincent\Desktop\bytely\run.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"Total", "-", 1, 13, 242, 21, 222, 253, 19, 26, 23, 167, 987
